Entity	Entity GL	Conso GL	Account Name
HMW	    61210037	61210037	ค่าการกุศล-บริหาร
HMW	    61210045	61210045	ค่าขนส่งอื่น-ไม่ใช่รถยนต์และอะไหล่
HMW	    61210046	61210046	ค่าขนส่งรถยนต์-บริหาร
HMW	    61210050	61210050	หนี้สงสัยจะสูญ-บริหาร
HMW	    61210053	61210053	ค่าแจ้งย้ายรถใหม่งานทะเบียน-บริหาร
HMW	    61210054	61210054	ค่าใช้จ่ายอื่น-บริหาร
HMW	    61210057	61210057	ค่ารับรอง(บวกกลับ)-บริหาร
HMW	    61210058	61210058	ค่าใช้จ่ายที่ไม่ใช่ค่ารับอรง(บวกกลับ)-บริหาร
HMW	    61210067	61210067	ค่าใช้จ่าย-การจัดประชุมบริษัท
HMW	    61210068	61210068	ค่าใช้จ่าย-ระบบสารสนเทศ
HMW	    61210070	61210070	ค่าใช้จ่าย-ศูนย์บริการทำบุญ
HMW	    61210071	61210071	ค่าใช้จ่าย-ความเสียหายระหว่างงานซ่อม
CLIK    61210020	61210028	ค่าส่งพัสดุ-บริหาร
CLIK    61210022	61210031	ค่าเบี้ยประกันภัย-บริหาร
CLIK    61210027	61210036	ค่ารับรอง-บริหาร
CLIK    61210028	61210037	ค่าการกุศล-บริหาร
CLIK	61210036	61210045	ค่าขนส่ง
CLIK	61210040	61210050	หนี้สงสัยจะสูญ-บริหาร
CLIK	61210041	61210051	หนี้สูญ-บริหาร
CLIK	61210043	61210054	ค่าใช้จ่ายอื่น-บริหาร
CLIK	61210046	61210057	ค่ารับรอง (บวกกลับ)-บริหาร
CLIK	61210047	61210058	ค่าใช้จ่ายที่ไม่ใช่ค่ารับอรง (บวกกลับ)-บริหาร
CLIK	61210054	61210067	ค่าใช้จ่าย-การจัดประชุมบริษัท
CLIK	61210052	61210068	ค่าใช้จ่าย-ระบบสารสนเทศ
CLIK	61210055	61210071	ค่าใช้จ่าย-ความเสียหายระหว่างการซ่อม
HMW	    61210056	61210056	ค่าบริหารจัดการ-บริหาร
CLIK	61210045	61210056	ค่าบริหารจัดการ-บริหาร
ACG	    61210056	61210056	ค่าบริหารจัดการ-บริหาร
HMW	    61210019	61210019	ค่าเช่าเครื่องถ่ายเอกสาร-บริหาร
HMW	    61210020	61210020	ค่าเช่าที่ดิน-บริหาร
HMW	    61210021	61210021	ค่าเช่ารถยนต์-บริหาร
HMW	    61210024	61210024	ค่าไฟฟ้า-บริหาร
HMW	    61210025	61210025	ค่าน้ำประปา-บริหาร
HMW	    61210027	61210027	ค่าโทรศัพท์-บริหาร
CLIK	61210011	61210019	ค่าเช่าเครื่องถ่ายเอกสาร-บริหาร
CLIK	61210012	61210020	ค่าเช่าพื้นที่-บริหาร
CLIK	61210013	61210021	ค่าเช่ารถยนต์-บริหาร
CLIK	61210016	61210024	ค่าไฟฟ้า-บริหาร
CLIK	61210017	61210025	ค่าน้ำประปา-บริหาร
CLIK	61210019	61210027	ค่าโทรศัพท์-บริหาร
ACG	    61210019	61210019	ค่าเช่าเครื่องถ่ายเอกสาร-บริหาร
ACG	    61210020	61210020	ค่าเช่าที่ดิน-บริหาร
ACG	    61210021	61210021	ค่าเช่าอื่น
ACG	    61210024	61210024	ค่าไฟฟ้า-บริหาร
ACG	    61210025	61210025	ค่าน้ำประปา-บริหาร
ACG	    61210027	61210027	ค่าโทรศัพท์-บริหาร
HMW	    61210034	61210034	ค่าเสื่อมราคา-บริหาร
HMW	    61210035	61210035	ค่าลิขสิทธิ์โปรแกรมตัดจ่าย-บริหาร
HMW	    61210060	61210060-1	ค่าเสื่อมราคาสัญญาเช่า-บริหาร
HMW	    61210072	61210072-1	ค่าเสื่อมราคา-บริหาร-IP
CLIK	61210025	61210034	ค่าเสื่อมราคา-บริหาร
CLIK	61210026	61210035	ค่าลิขสิทธิ์โปรแกรมตัดจ่าย-บริหาร
CLIK	61210049	61210060-1	ค่าเสื่อมราคาสัญญาเช่า-บริหาร
ACG	    61210034	61210034	ค่าเสื่อมราคา-บริหาร
ACG	    61210035	61210035	ค่าลิขสิทธิ์โปรแกรมตัดจ่าย-บริหาร
ACG	    61210062	61210062	ค่าเสื่อมราคาสัญญาเช่า-บริหาร
ACG	    61210065	61210065	ค่าโปรแกรมตัดจ่าย-บริหาร
HMW	    61210041	61210041	ค่าธรรมเนียมวิชาชีพอิสระ-บริหาร
HMW	    61210042	61210042	ค่าที่ปรึกษาทางกฏหมาย-บริหาร
HMW	    61210055	61210055	ค่าที่ปรึกษาอื่น-บริหาร
CLIK	61210032	61210041	ค่าธรรมเนียมวิชาชีพอิสระ-บริหาร
CLIK	61210033	61210042	ค่าที่ปรึกษาทางกฏหมาย-บริหาร
CLIK	61210044	61210055	ค่าที่ปรึกษาอื่น-บริหาร
ACG	    61210041	61210041	ค่าธรรมเนียมวิชาชีพอิสระ-บริหาร
ACG	    61210042	61210042	ค่าที่ปรึกษาทางกฏหมาย-บริหาร
ACG	    61210055	61210055	ค่าที่ปรึกษาอื่น-บริหาร
HMW	    61210033	61210033	ค่าซ่อมแซมบำรุงรักษา-บริหาร
HMW	    61210062	61210062	ค่าซ่อมแซมรถใหม่
CLIK	61210024	61210033	ค่าซ่อมแซมบำรุงรักษา-บริหาร
ACG	    61210033	61210033	ค่าซ่อมแซมบำรุงรักษา-บริหาร
HMW	    71110013	71110013	ผลขาดทุนจากการตัดจำหน่าย (Write off)
HMW	    71110015	71110015	รายจ่ายจากการทำลายสินทรัพย์ถาวรทางภาษี
CLIK	61210039	61210049	ส่วนต่างจากการปรับปรุงบัญชีสินค้าคงเหลือ-บริหาร
CLIK	71110014	71110014	รายจ่ายจากการทำลายสินค้าคงเหลือทางภาษี
CLIK	71110015	71110015	รายจ่ายจากการทำลายสินทรัพย์ถาวรทางภาษี
ACG	    61210049	61210049	ส่วนต่างจากการปรับปรุงบัญชีสินค้าคงเหลือ-บริหาร
HMW	    61210023	61210023	ค่าภาษีป้ายและภาษีโรงเรือน-บริหาร
HMW	    61210048	61210048	ค่าเบี้ยปรับเงินเพิ่ม-บริหาร
HMW	    61210063	61210064	ภาษีธุรกิจเฉพาะ
HMW	    61210074	61210074-1	ค่าภาษีที่ดินและสิ่งปลูกสร้าง
CLIK	61210015	61210023	ค่าภาษีป้ายและภาษีโรงเรือน-บริหาร
CLIK	61210038	61210048	ค่าเบี้ยปรับเงินเพิ่ม-บริหาร
CLIK	61210057	61210057-1	ภาษีที่ดินและภาษีโรงเรือน-บริหาร
CLIK	61210074	61210074-2	ภาษีโรงเรือน และ สิ่งปลูกสร้าง-บริหาร
ACG	    61210023	61210023	ค่าภาษีป้ายและภาษีโรงเรือน-บริหาร
ACG	    61210048	61210048	ค่าเบี้ยปรับเงินเพิ่ม-บริหาร
ACG	    61210064	61210064	ภาษีธุรกิจเฉพาะ
HMW	    61210038	61210038	ค่าธรรมเนียมโอนเงิน-บริหาร
HMW	    61210039	61210039	ค่าธรรมเนียมธุรกรรมทางการเงิน-บริหาร
HMW	    61210040	61210040	ค่าธรรมเนียมอื่น-บริหาร
CLIK	61210029	61210038	ค่าธรรมเนียมโอนเงิน-บริหาร
CLIK	61210030	61210039	ค่าธรรมเนียมธุรกรรมทางการเงิน-บริหาร
CLIK	61210031	61210040	ค่าธรรมเนียมอื่น-บริหาร
ACG	    61210038	61210038	ค่าธรรมเนียมโอนเงิน-บริหาร
ACG	    61210039	61210039	ค่าธรรมเนียมธุรกรรมทางการเงิน-บริหาร
ACG	    61210040	61210040	ค่าธรรมเนียมอื่น-บริหาร
HMW	    51310044	51310044	ดอกเบี้ยจ่ายสัญาเช่า-บริการ
HMW	    61110027	61110027	ดอกเบี้ยจ่ายสัญาเช่า-ขาย
HMW	    61210059	61210059-1	ดอกเบี้ยจ่ายสัญาเช่า-บริหาร
HMW	    81110010	81110010	ดอกเบี้ยจ่ายเงินเบิกเกินบัญชีธนาคาร
HMW	    81110011	81110011	ดอกเบี้ยจ่ายตั๋วเงินจ่ายธนาคาร
HMW	    81110012	81110012	ดอกเบี้ยจ่ายเงินกู้ยืมระยะยาวธนาคาร
HMW	    81110013	81110013	ดอกเบี้ยจ่ายอื่น
CLIK	51310032	51310044	ดอกเบี้ยจ่ายสัญญาเช่า-บริการ
CLIK	61110016	61110027	ดอกเบี้ยจ่ายสัญญาเช่า-ขาย
CLIK	61210048	61210059-1	ดอกเบี้ยจ่ายสัญญาเช่า-บริหาร
CLIK	81110001	81110010	ดอกเบี้ยจ่ายเงินเบิกเกินบัญชีธนาคาร
CLIK	81110002	81110011	ดอกเบี้ยจ่ายตั๋วเงินจ่ายธนาคาร
CLIK	81110003	81110012	ดอกเบี้ยจ่ายเงินกู้ยืมระยะยาวธนาคาร
CLIK	61210053	81110013	ดอกเบี้ยตัดจำหน่าย-ค่ารื้อถอน 
CLIK	81110004	81110004	ดอกเบี้ยจ่ายกิจการที่เกี่ยวข้องกัน
CLIK	81110005	81110005	ดอกเบี้ยจ่ายกิจการอื่น
CLIK	61110001	61110010	ค่านายหน้าในการขาย
